,key,kernel,graph,threads,sockets,nodes,edges,degree,instructions,cycles,L1-dcache-loads,L1-dcache-stores,l2-trans.demand-data-rd,l2-trans.rfo,l2-trans.l1d-wb,l2-trans.l2-wb,offcore-response.demand-data-rd.llc-hit.any-response,offcore-response.demand-data-rd.llc-miss.local-dram,offcore-response.demand-data-rd.llc-miss.remote-dram,cores,l1d-read-accesses,l1d-write-accesses,l2-read-accesses,l2-write-accesses,l3-read-accesses,l3-write-accesses,ldram-read-accesses,rdram-read-accesses,l1d-read-accesses-per1kinstr,l1d-write-accesses-per1kinstr,l2-read-accesses-per1kinstr,l2-write-accesses-per1kinstr,l3-read-accesses-per1kinstr,l3-write-accesses-per1kinstr,ldram-read-accesses-per1kinstr,rdram-read-accesses-per1kinstr,l1d-read-miss-rate,l1d-write-miss-rate,l2-read-miss-rate,l2-write-miss-rate,l3-read-miss-rate,l1d-read-bw,l1d-write-bw,l2-read-bw,l2-write-bw,l3-read-bw,l3-write-bw,ldram-read-bw,rdram-read-bw,ipc,avg-exec-time,energy-pkg,energy-cores,energy-uncore,pct-energy-cores,pct-energy-uncore,power-pkg,power-cores,power-uncore,millionTEPS/W
32,bc-kron-g20-k4-t1-1s-1tpc-nh,bc,kron-g20-k4,1.0,1.0,1048575.0,4087377.0,3.0,349633846.1,767824789.7,101357040.9,26516250.5,22872539.0,3796978.8,4900291.1,3738166.8,14057172.3,2541013.4,1307.2,1.0,101357040.9,26516250.5,26669517.8,4900291.1,16599492.9,3738166.8,2541013.4,1307.2,289.91322877348557,75.76389343969531,76.34527535285356,14.028932713771784,47.519628082358096,10.70125459074848,7.268408649893177,0.0037413389455441025,26.332277248009227,18.55694809707024,62.24176234764957,76.28725031759416,15.320285238131508,9.72677165148853,2.5465698946278,5.115035724977063,0.9396068475568116,3.183043306323405,0.716967633600297,0.48711185397250434,0.0002476606813751732,0.45602771098533024,0.33651558616,22.732999999999997,13.732999999999999,9.0,60.53287162037217,39.46712837962784,67.82051744143583,41.108382486406725,26.712134955029104,0.18102830810493759
44,bc-kron-g20-k4-t2-1s-2tpc-fh,bc,kron-g20-k4,2.0,1.0,1048575.0,4087377.0,3.0,2161067515.0,2595599794.1,722125175.5,213998974.2,27796466.9,6812641.7,8412994.8,5617529.0,16455447.2,2874116.6,182313.5,1.0,722125175.5,213998974.2,34609108.6,8412994.8,19511877.3,5617529.0,2874116.6,182313.5,334.03848217431675,99.15002009490499,16.10039903062457,3.91455663110451,9.069878684940209,2.6150963588266354,1.3391093892977997,0.08433188145047096,4.82315788026858,3.945554648195917,56.467115524192806,66.81486111152705,15.66640276536541,84.37811584860434,24.962052520668657,8.100911979599283,1.970161095311402,4.558490215654383,1.3165463187923918,0.673258065121576,0.04244558769486437,0.8623852646356316,0.27711855012000003,16.049,8.913,7.136,56.8419705883792,43.15802941162081,57.336047043809536,32.08355340314924,25.252493640660305,0.2840546659704172
416,bfs-kron-g20-k4-t1-1s-1tpc-nh,bfs,kron-g20-k4,1.0,1.0,1048575.0,4087377.0,3.0,113119138.7,177793462.7,34788813.0,18727991.9,2802654.9,928966.2,1190511.5,302091.2,842328.8,459440.9,718.9,1.0,34788813.0,18727991.9,3731621.1,1190511.5,1302488.6,302091.2,459440.9,718.9,307.54190048221847,165.56021424199963,32.98911102147478,10.524571713357215,11.514680628329472,2.6706299729147145,4.061817413320055,0.0063561116535909915,10.726689495632103,6.356943187867285,34.90682743950641,25.375478390765018,35.45851894138051,11.256124787194645,6.059143551539775,2.415728031601178,0.7705477913487558,0.8443280935763958,0.1957529236954717,0.29700805178724865,0.00046757419687658015,0.636369865941693,0.10063043939999998,5.891,3.181,2.71,53.98093785504894,46.019062144951064,59.36128576660699,32.055829021247604,27.305456745359386,0.6950800061783516
428,bfs-kron-g20-k4-t2-1s-2tpc-fh,bfs,kron-g20-k4,2.0,1.0,1048575.0,4087377.0,3.0,295578277.5,483042967.0,90536894.0,33511451.6,3377419.9,1179724.4,1541141.4,455222.9,1078477.6,489868.3,22671.3,1.0,90536894.0,33511451.6,4557144.3,1541141.4,1591017.2,455222.9,489868.3,22671.3,302.87852929690985,114.02249870025678,15.777593541938298,5.344627914775138,5.506623835391896,1.5793474850732843,1.7049593971924466,0.07875855476442788,5.291968612615783,4.741300353891611,35.018372841983386,29.52087061506652,32.271512432818426,32.26581649009073,11.930199336069066,3.2601434075660647,1.103321228541777,1.1425428879765769,0.32574363768729164,0.35223164771182824,0.01622387463491628,0.6084542654838588,0.09035685296,4.369999999999999,2.371,1.9989999999999999,54.45989872799062,45.54010127200938,48.448190429291984,26.336500456397705,22.111689972894276,0.9492837413305647
800,cc-kron-g20-k4-t1-1s-1tpc-nh,cc,kron-g20-k4,1.0,1.0,1048575.0,4087377.0,3.0,157851395.3,263401999.9,46182212.8,17594666.6,3780575.4,901086.7,1281049.0,433453.9,1441031.3,686918.6,813.6,1.0,46182212.8,17594666.6,4681662.1,1281049.0,2128763.5,433453.9,686918.6,813.6,292.56766767631063,111.46314267123321,29.658903141840387,8.115613865857606,13.486137146484074,2.745994159881923,4.351592811814542,0.005156593686926156,10.137454879719822,7.281020400795024,45.47157653421506,33.8357810132819,32.29640899927573,12.935762948108978,4.927550078673695,2.622638415334448,0.7176557359195002,1.1923607023219527,0.24281172070066032,0.3844140870098254,0.0004540378712974935,0.5993544024656295,0.11501058602,8.078999999999999,5.135,2.944,63.122458670734,36.87754132926601,70.74613662158808,44.854988207037636,25.89114841455044,0.5095952115649663
812,cc-kron-g20-k4-t2-1s-2tpc-fh,cc,kron-g20-k4,2.0,1.0,1048575.0,4087377.0,3.0,559451303.9,786939154.7,190499122.1,60330311.7,5224585.8,1565581.2,2175722.6,783444.4,2223448.6,843918.4,20731.4,1.0,190499122.1,60330311.7,6790167.0,2175722.6,3088098.4,783444.4,843918.4,20731.4,338.6659807005522,110.0380341047847,12.666261232651475,4.071553248015817,5.738813583727015,1.456767715769532,1.5618070133380746,0.03818033171144729,3.7756930430847317,3.6455318349912034,45.5302750026421,36.17309922545151,27.989344115377854,67.58357207592977,21.208312917282903,4.729761524109987,1.512806639466685,2.157954462738739,0.5469421501610119,0.589650311529547,0.01416098439042717,0.7129787668091222,0.09246617482,5.353,3.0490000000000004,2.3039999999999994,57.43170222102974,42.56829777897026,57.781858768559104,32.99906398002945,24.782794788529664,0.7913882580541022
1184,pr-kron-g20-k4-t1-1s-1tpc-nh,pr,kron-g20-k4,1.0,1.0,1048575.0,4087377.0,3.0,758258444.3,1387726086.4,251520979.0,39507095.0,100944458.0,1596861.9,2660468.8,1423222.7,65344744.9,7137144.3,1516.2,1.0,251520979.0,39507095.0,102541319.9,2660468.8,72483405.4,1423222.7,7137144.3,1516.2,331.7096311567612,52.102096758503976,135.233130289906,3.5086287695633507,95.59224428128064,1.8769285002147402,9.412494150658,0.0019994209467909143,40.76871050984634,6.734149558355435,70.68726566700353,53.50713174307985,9.848714156156134,16.73721742162125,2.629032564302051,13.64726151226204,0.3541049325064956,9.646581663128538,0.1894263640261847,0.9498418358372677,0.00020171527747242442,0.5464418130848779,0.48104983688,39.392,27.125999999999998,12.266,68.45386617363404,31.546133826365956,81.88497254242017,56.401038071375424,25.483934471044762,0.10552822148036145
1196,pr-kron-g20-k4-t2-1s-2tpc-fh,pr,kron-g20-k4,2.0,1.0,1048575.0,4087377.0,3.0,2174925859.2,3145169972.1,659664981.0,184489242.8,109980178.9,7267016.3,8511087.0,4560910.1,70742020.4,7655156.5,288361.6,1.0,659664981.0,184489242.8,117247195.2,8511087.0,78685538.5,4560910.1,7655156.5,288361.6,302.9325639709503,85.29685081360724,54.24654692075622,3.93842799623681,36.3946634045248,2.111864225369162,3.5434485397769877,0.13326316357184487,17.93427035144293,4.6131036016203115,67.1174627108264,53.55255847165671,10.095684177166943,72.4928408738957,20.265215550274185,25.753755424935132,1.868830346103119,17.283377418092943,1.0008111401711617,1.6814690029176518,0.06342974248957856,0.6909597649011037,0.29167539146,21.313000000000002,13.710999999999999,7.602000000000001,64.33476621762068,35.66523378237931,73.14227534664936,47.06979497991118,26.07248036673816,0.1922165781688609
1568,sssp-kron-g20-k4-t1-1s-1tpc-nh,sssp,kron-g20-k4,1.0,1.0,1048575.0,4087377.0,3.0,280473630.9,589366456.3,106517476.7,40742012.9,17881662.1,2458348.9,4079831.8,1618366.1,10304569.8,2479355.0,1514.8,1.0,106517476.7,40742012.9,20340011.0,4079831.8,12785439.6,1618366.1,2479355.0,1514.8,379.7771219243824,145.2616146037486,72.5204498068138,14.546292640943893,45.58498465584589,5.7702120106139105,8.840672581542362,0.005400280811772679,19.09554033737346,10.013864321415731,62.85847677941016,39.66711600775539,19.45280024553302,6.6467627990089735,2.542243558386601,2.5385301075272384,0.50921118321759,1.5952481693045517,0.2020475269205657,0.30999637206367636,0.00018911866458224124,0.4759618203496897,0.51517093552,31.030999999999995,17.15,13.880999999999997,55.10504934627172,44.89495065372828,60.54652525129303,33.48998067456235,27.056544576730687,0.1330675166213611
1580,sssp-kron-g20-k4-t2-1s-2tpc-fh,sssp,kron-g20-k4,2.0,1.0,1048575.0,4087377.0,3.0,1000968519.9,1628049183.7,308627068.4,131262749.6,24421356.9,6095018.8,8606512.3,4186861.6,13553188.6,2893648.9,114583.7,1.0,308627068.4,131262749.6,30516375.7,8606512.3,16561421.2,4186861.6,2893648.9,114583.7,308.45432695759223,130.7484381550384,30.645433733783857,8.63462720869601,16.661174173009837,4.195469281928661,2.913137536285176,0.11507058133514611,9.932207393658851,6.635007589260726,54.34062471699228,48.602901879924204,18.153704329626407,21.984876307492193,9.357443522501597,4.343380268961659,1.2250273915293441,2.3512323536846886,0.5959738780795647,0.41089709922100637,0.01625515739161908,0.6160892202369898,0.45086016808,24.46,12.811000000000002,11.649000000000001,52.35878370254388,47.64121629745612,54.452191633751696,28.520683438945525,25.931508194806163,0.16726876348432335
